pid,field,outcome_var,measured_dist,estimator,gt_label,note
doi:10.7910/DVN/HRK5HI,political science / religious conflict,hindu_hc,count,lm.cluster,mismatch,"Hate crimes against Hindus by Indian state-year. Code: miceadds::lm.cluster(hindu_hc ~ after + after:treat3 + factor(state) + factor(year), cluster='state') in hcanalysis.R. Outcome is a raw event count (0-7); King (1988) critique applies directly — Poisson/NegBin appropriate."
doi:10.7910/DVN/EVLKBN,public policy / gun control,total,count,regress,mismatch,"Monthly firearm background checks per state. Code collapses to national monthly totals then: regress total sandyhookp1-sandyhookp5 monthdv2-monthdv12 yrdv2009-yrdv2015 in replication_science.do. Outcome is an event count with massive spread (262 to 541978); OLS Gaussian assumption violated — King (1988) count model critique applies."
doi:10.7910/DVN/WOEWJ3,history / WWI propaganda,krieg_positive_share,proportion,reg,mismatch,"Share of positive war-related letter content by WWI NSDAP supporter. Code: reg krieg_positive_share i.civilian_n, r in table_3.do. Outcome is bounded [0,1]; OLS can predict outside unit interval and heteroskedasticity is structural. Beta regression or fractional logit appropriate per Papke & Wooldridge (1996)."
doi:10.7910/DVN/WOEWJ3,history / WWI propaganda,krieg_eval_dummy,binary,reg,mismatch,"Binary indicator of positive war evaluation in WWI letter. Code: reg krieg_eval_dummy i.civilian_n, r in table_3.do. Explicit LPM; soft/debated mismatch — LPM predictions can exceed [0,1] and heteroskedasticity is structural. Logit/probit preferred per standard binary outcome practice."
doi:10.7910/DVN/JE0EVI,energy policy / global electrification,ahu_total_w99,proportion,xtreg,mismatch,"Household electrification rate from Aklin, Harish & Urpelainen (Energy Policy). Code: xtreg ahu_total_w99 time, fe cluster(ccode) in Aklin et al. Replication Code.do. Profiler classifies as 'continuous' because scale is 0-100 not 0-1 (known scale-masking failure mode); substantively this is a bounded proportion. OLS on a rate bounded at 0 and 100 violates Gaussian support assumption."
doi:10.7910/DVN/QY1OWG,conflict studies / Afghanistan civil war,eligible,binary,reg,mismatch,"Binary eligibility for ISAF condolence aid in Afghanistan ACAP data. Code: reg eligible isafresp casualties totalharm property in CIVCAS_Rep.do (Table S2). LPM on 0/1 indicator — soft/debated mismatch. Logit or probit preferred for binary outcome; structural heteroskedasticity and out-of-bounds predictions possible."
doi:10.7910/DVN/SGTOUW,political science / police killings and voter turnout,turnout_2016_voter,binary,lm.cluster,mismatch,"Individual voter turnout in 2016 from matched sample around police killings. Code in pk_voter.Rmd: lm.cluster(turnout ~ as.factor(year) + treatment_dummy + did). Paper explicitly states 'I use linear probability models instead of logit models.' LPM soft mismatch — author is aware; structural heteroskedasticity and [0,1] violations are standard LPM concerns."
doi:10.7910/DVN/DUO7IE,international relations / military effectiveness,index,ordinal,reg,mismatch,"Military institutional capacity index (0-4 scale) from Divided Armies (Lyall & Wilson) replication data. Code: reg index mic_mean if yrstart<1918, cluster(ccode) in DividedArmies.do. OLS on an ordered discrete scale treats equal distances between categories — a softer mismatch; ordered logit/probit more appropriate."
doi:10.7910/DVN/DUO7IE,international relations / military effectiveness,bpi,proportion,reg,mismatch,"Battle performance index (proportion of battles won) from Divided Armies replication data. Code: reg bpi mic_mean if yrstart<1918, cluster(ccode) in DividedArmies.do. Outcome is bounded [0,1] fraction; OLS can predict outside unit interval. Fractional logit or beta regression appropriate per Papke & Wooldridge (1996)."
doi:10.7910/DVN/29394,international relations / human rights reporting,mediaraw,count,poisson,match,"Raw count of media articles covering human rights violations by conflict-year from Burgoon et al. replication data. Code: poisson mediaraw UKdist USAdist s3uni Amnesty3 unpko3 tc3 paritystrong3 lpw3 ethnic3 lnpgdppc3 lnpop3 demdum3 in IIfinaldofile.do. Poisson correctly applied to count outcome — estimator class matches measured distribution class."
doi:10.7910/DVN/DDTCED,political science / terrorism,GTDDomestic,count,zinb,match,"Wilson & Piazza 'Autocracies and Terrorism'. GTDDomestic = domestic terrorist attacks per country-year from GTD. Profiler: all integers, non-negative, skew=8.17>>2 -> count. Author correctly uses zinb to handle excess zeros and overdispersion."
doi:10.7910/DVN/QKGQQI,political science / ethnic conflict,attack,count,menbreg,match,"Leader Nationalism and Ethnic Identity replication. attack = terrorist attacks per leader-ethnic-group-year. Profiler: all integers, non-negative, extreme skew=16.29 -> count. Authors use menbreg (Table 2) and nbreg (Table 3 robustness) -- correct count models for overdispersed panel count data."
doi:10.7910/DVN/28245,international relations / maritime conflict,nmidiss,count,nbreg,match,"Ruling the Sea (UNCLOS maritime disputes). nmidiss = number of MID disputes involving maritime claims per dyad-year. Despite range {0,1,2} and distinct=3, skew=6.15 >> 2 so profiler correctly classifies as count (not ordinal). Author uses nbreg in Table 2."
doi:10.7910/DVN/WNSAKL,political science / terrorism,attacks,count,nbreg,match,"Terror Groups and Domestic Agenda. attacks = terrorist attacks per country-month; full file is 242MB so a 5MB range-header sample was profiled. Extreme skew=32.78, non-negative integers -> count. nbreg is the primary estimator in the replication code."
doi:10.7910/DVN/VCYOJV,political science / hate crimes,hcam1,count,lm,mismatch,"Hate crimes against religious minorities (data from doi:10.7910/DVN/HRK5HI). hcam1 = raw hate crime incidents per county-year. Profiler: all non-negative integers, skew=4.93 -> count. R code (VCYOJV) uses plm(hcam1 ~ ., model='within') = OLS panel FE. Count outcome with many zeros and high skew fit by linear model -- classic King (1988) mismatch."
doi:10.7910/DVN/MJWO0X,public health / governance,ind_corrup_n,proportion,regress,mismatch,"Health governance in Brazilian municipalities. ind_corrup_n = normalized corruption index bounded in [0,1]. Profiler: all values in [0,1], 99%+ in [0,1] -> proportion. Stata code uses regress ind_corrup_n, which is OLS on a fractional/proportion outcome. Papke & Wooldridge (1996) show OLS on proportions can yield predictions outside [0,1] and is inefficient; fractional probit/betareg is appropriate."
doi:10.7910/DVN/Y0OIRY,environmental policy / energy,number_of_disconnections,count,reg,mismatch,"Utility disconnections and extreme heat in California. number_of_disconnections = count of electricity disconnection events per zip-code-month. Profiler: all positive integers, skew=2.81 -> count. Stata code uses reg (OLS) on this count outcome. With mean=44 and max=716 there is also substantial overdispersion; Poisson or negative binomial would be appropriate."
doi:10.7910/DVN/ZG2GY9,political science / legislative attendance,pctabsent,proportion,reg,mismatch,"Roll-call absence rate (proportion of votes missed) for US House members across congresses. Code: reg pctabsent hmeddist1 hmeddist2 ... cluster(icpsr) robust. Profiler: all 15142 obs strictly in [0,1], 7403 distinct values. Classic King-style proportion-into-OLS mismatch; predicted values can fall outside [0,1] and Gaussian error is inappropriate for a bounded proportion."
doi:10.7910/DVN/23624,political science / electoral RD,dem_share_next,proportion,reg,mismatch,"Democratic vote share in the NEXT election (regression-discontinuity design). Code line 162: reg dem_share_next dem_win if close==1, robust cluster(stateyear). Profiler: all 31512 obs in (0,1), >10k distinct values. OLS on a proportion bounded in (0,1) is a clear mismatch; betareg or fractional probit would be appropriate."
doi:10.7910/DVN/899DIN,development economics / child marriage RCT,ysis_shareschool,proportion,reg,mismatch,"Share of younger sisters currently in school, from an RCT on reducing child marriage in Ethiopia. Code uses a foreach loop: reg `var' treated `var'_base i.pair_id ... over ysis_shareschool. Table note states 'all coefficients are estimated using multivariate ordinary least squares regression'. Profiler: 599 obs, 13 distinct values, all in [0,1]. Clear proportion-into-OLS mismatch in a development-economics RCT."
doi:10.7910/DVN/CHXJRF,political science / voter turnout,turnout_alc,proportion,xtreg,mismatch,"Municipal voter turnout rate (votes cast divided by registered voters) across Colombian municipalities. Code uses reg turnout_alc treatment_restricted ... and xtreg turnout_alc treatment_rest ..., vce(cluster codemun). Profiler: 12141 obs, all in [0,0.999], >10k distinct values. Linear (xtreg/FE) on a proportion bounded in [0,1] is a standard King-style mismatch."
doi:10.7910/DVN/21HZCC,political science / coup resilience,replacement_rateadj_minister,proportion,xtreg,mismatch,"Share of cabinet ministers replaced after a coup attempt (Bell & Sudduth 2017; Nottingham Replication Games dataset). Primary Stata do-file uses xtreg replacement_rateadj_minister coupriskpr ... fe cluster(COUNTRY_ID). The same dataset also contains ordered-betareg-analysis.R that applies ordbetareg as a correction. xtreg (linear FE) on a proportion is a mismatch."
doi:10.7910/DVN/US6MPD,education / AI attitudes,pragmatikus_trans,proportion,betareg,match,"Share of coded discourse segments in the 'pragmatic AI use' category from Hungarian Catholic teacher interviews. Code applies a boundary-squeeze transform (Smithson-Verkuilen) to convert the raw share arany_pragmatikus6 to pragmatikus_trans, then runs betareg(...). Beta regression correctly models a bounded proportion. Confirmed match case."
doi:10.7910/DVN/29709,political economy / trade preferences,support_freetrade,binary,reg,mismatch,"Naoi & Kume (2015, Comparative Political Studies). The 5-pt Likert attitude scale is dichotomized to support_freetrade (0/1), then modeled with OLS. This is LPM on a binary outcome: a soft/debated mismatch. TAB file: cps2015_naoi_kume_workersconsumers.tab (n=1185); code: CPS_workersconsumers_replication.do."
doi:10.7910/DVN/MJIVGR,political science / climate migration experiment,agree,ordinal,reg,mismatch,"Bansak et al. climate change migrants experiment (BJPS). The outcome 'agree' is a 4-category ordered agreement scale from a conjoint vignette survey. OLS imposes equal interval spacing and unbounded predictions on a bounded 1-4 scale. Standard alternative would be ologit. TAB file: DataClimateChangeMigrantsReplication.tab (n=1102)."
doi:10.7910/DVN/MJIVGR,political science / climate migration experiment,accept,binary,logit,match,"Same Bansak et al. climate migrants dataset. The binary acceptance outcome (0/1, yes or no per vignette) is modeled with logit, the canonical estimator for binary outcomes. Profiler correctly labels as binary (exactly 2 distinct values). Clean match case."
doi:10.7910/DVN/0D89WX,political science / crime anxiety,worryScale,ordinal,lm,mismatch,"Hassell & Wyler (2021, JOP) crime anxiety and presidential approval study. worryScale is a 5-question additive crime worry scale bounded (0-5), integer-valued. Profiler classifies it as ordinal (6 distinct, max=5 <= 20). OLS on a bounded 6-category additive scale: softer ordinal->linear mismatch."
doi:10.7910/DVN/EVLKBN,public policy / gun control (national aggregate),total,count,regress,mismatch,"Levine & McKnight (2017, Science) Sandy Hook effect on background checks. The DV 'total' is the monthly count of firearm background checks (755K to 3.3M), non-negative integer count. OLS on count data ignores non-negativity constraint, heteroskedasticity, and the Poisson-like variance structure. King (1988)-style clear count->linear mismatch."
doi:10.7910/DVN/4FBY8O,science education / evolution teaching,q27_evo_college,ordinal,reg,mismatch,"Plutzer et al. (2020, Science Education) 2019 Survey of American Science Teachers. q27_evo_college is an ordered 5-category Likert scale about evolution training. Analyzed with survey-weighted OLS (svy:reg). Appropriate model would be svy:ologit."
doi:10.7910/DVN/GAPZKQ,political science / Arab Barometer,ConEqual01,proportion,reg,mismatch,"Brooke, Chouhoud & Hoffman (BJPS, Friday Effect) Arab Barometer religious attendance study. ConEqual01 is a 4-category ordinal Likert item rescaled to the unit interval (0, 1/3, 2/3, 1). Profiler labels it 'proportion' (all values in [0,1]). OLS on a rescaled ordinal -- soft mismatch."
doi:10.7910/DVN/IZKHFT,political science / voter confidence,voteconfcol,ordinal,sureg,mismatch,"Atkeson, Alvarez & Hall (2015, ELJ) voter confidence study. voteconfcol is a 3-category collapsed ordinal measure. Analyzed via sureg (seemingly unrelated regressions = multivariate OLS). Main results use sureg, which is the reported mismatch."
doi:10.7910/DVN/HRK5HI,political science / religious conflict (India),hcam1,count,lm.cluster,mismatch,"Right-skewed overdispersed count (n=280, min=0, max=19, skew=4.93, many zeros). OLS-based clustered-SE linear model assumes Gaussian errors on a non-negative integer outcome. King (1988) critique: OLS on event counts yields incorrect SEs and inefficient estimates; Poisson or negative binomial preferred."
doi:10.7910/DVN/MJWO0X,public health / governance (Brazil panel),ind_corrup_n,proportion,regress,mismatch,"All 1077 values lie in [0,1] (proportion); Stata code: regress ind_corrup_n anos_cons eleccomp2 ... [pweight=total_os], robust. Papke and Wooldridge (1996) critique: OLS on unit-interval proportions yields predictions outside [0,1] and heteroskedastic errors; fractional logit (fracreg) is preferred."
doi:10.7910/DVN/EVLKBN,public policy / gun control (state-level),total,count,regress,mismatch,"Count spanning three orders of magnitude (n=5400, min=449, max=541978, skew=3.70). Stata code: regress total sandyhookp1-sandyhookp5 ... King (1988) textbook mismatch: OLS on non-negative integer counts produces inconsistent estimates."
doi:10.7910/DVN/QY1OWG,conflict studies / Afghanistan COIN,eligible,binary,reg,mismatch,"Binary outcome (n=1061, distinct=2) modeled with OLS in balance-test and first-stage regressions: reg eligible isafresp casualties totalharm property. Linear Probability Model: predicted probabilities can fall outside [0,1] and errors are structurally heteroskedastic; logit or probit preferred."
doi:10.7910/DVN/899DIN,development economics / child marriage RCT (Ethiopia),unmarried_base,binary,reg,mismatch,"Binary marriage-status outcome (n=1162, distinct=2); Stata code loops: reg `var' treated `ctrl', cluster(community_id) where the var list includes unmarried. The paper explicitly calls this 'multivariate ordinary least squares regression' on binary outcomes. Classic LPM soft mismatch."
doi:10.7910/DVN/WNSAKL,political science / terrorism (dyadic panel),attacks,count,nbreg,match,"Heavily zero-inflated count (>99.4% zeros). Stata code: nbreg attacks L.lntroops war lnmindist civilwar_s civilwar_t ... cluster(dyadid). Negative binomial is the correct estimator for overdispersed count data. Estimator-outcome class match."
doi:10.7910/DVN/N2JBY5,ecology / wetland plant communities,SpRich,ordinal,lm,mismatch,"Count of plant species per plot (n=120, min=2, max=11, distinct=9, skew=1.18); profiler classifies as ordinal because distinct<=10, max<=20, and |skew|<2. R code: aov(SpRich ~ Treatment, df2011). The code's own Shapiro-Wilk test finds non-normality yet proceeds with Gaussian ANOVA. Warton and Hui (2011) establish that species richness counts should use GLM (Poisson or NegBin) not Gaussian ANOVA."
doi:10.7910/DVN/EKNEIH,political science / South Africa elections,anc_vs_na,proportion,reg,mismatch,"de Kadt & Larreguy 'Agents of the Regime? Traditional Leaders and Electoral Politics in South Africa'. anc_vs_na = ANC vote share; profiled n=1267, all values in (0.005, 0.971), continuous bounded [0,1]. Stata code (agents_of_the_regime_replication_paperresults.do): reg anc_vs_na share_area_all_tbvc share_area_KwaZulu ... cluster(cat_b). OLS on a bounded vote share -- classic King-style / Papke & Wooldridge (1996) proportion-into-OLS mismatch. Data file: ward_level_data20002014.tab. VERIFIED 2026-07-01 (DOI resolves, column present, estimator co-occurs)."
doi:10.7910/DVN/QQRCMD,IR / civil war severity,battledeadbest,count,regress-logOLS,mismatch,"Lacina 'Explaining the Severity of Civil Wars' (JCR 2006). battledeadbest = best-estimate battle deaths per civil war; profiled n=114, integer, non-negative, extreme skew=7.24 (900 to 2.1M) -> count. Stata code (Lacina_JCR_2006_postedJan07.do) builds lnbdb=ln(battledeadbest) then: regress lnbdb lnduration lnpop lnmilqual lngdp cw ... -- log-transform + OLS on an event count, which also drops zeros (log undefined at 0). King (1988) event-count critique applies; a count GLM (Poisson/NegBin) is appropriate. VERIFIED 2026-07-01."
